year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,8,21,1855,1855,0,2147,2216,-29,B6,669,N662JB,JFK,SJC,331,2569,18,55,2013-08-21T22:00:00Z
2013,9,22,1347,1343,4,1646,1701,-15,UA,1663,N37462,EWR,SFO,337,2565,13,43,2013-09-22T17:00:00Z
2013,1,6,754,759,-5,949,959,-10,US,1733,N170US,LGA,CLT,94,544,7,59,2013-01-06T12:00:00Z
2013,11,8,1117,1105,12,1334,1335,-1,WN,1250,N267WN,LGA,DEN,241,1620,11,5,2013-11-08T16:00:00Z
2013,7,3,1830,1824,6,2122,2129,-7,B6,1013,N552JB,JFK,LGB,301,2465,18,24,2013-07-03T22:00:00Z
2013,5,16,1644,1629,15,1954,1927,27,B6,985,N534JB,LGA,TPA,144,1010,16,29,2013-05-16T20:00:00Z
2013,11,7,1130,1129,1,1436,1429,7,AA,1139,N3HCAA,LGA,DFW,212,1389,11,29,2013-11-07T16:00:00Z
2013,1,9,2014,1940,34,2148,2100,48,WN,633,N224WN,EWR,MDW,128,711,19,40,2013-01-10T00:00:00Z
2013,4,14,1328,1318,10,1414,1412,2,EV,5670,N16981,EWR,BDL,24,116,13,18,2013-04-14T17:00:00Z
2013,9,12,NA,1455,NA,NA,1645,NA,MQ,2815,N659MQ,JFK,CLE,NA,425,14,55,2013-09-12T18:00:00Z
2013,12,29,955,1001,-6,1141,1210,-29,EV,4297,N13132,EWR,DTW,83,488,10,1,2013-12-29T15:00:00Z
2013,8,29,1047,1025,22,1143,1140,3,MQ,3611,N518MQ,EWR,ORD,100,719,10,25,2013-08-29T14:00:00Z
2013,12,5,1356,1329,27,1452,1440,12,B6,308,N183JB,JFK,PWM,43,273,13,29,2013-12-05T18:00:00Z
2013,8,23,612,616,-4,848,911,-23,UA,1665,N37434,EWR,LAX,306,2454,6,16,2013-08-23T10:00:00Z
2013,2,2,1604,1600,4,1901,1907,-6,UA,734,N537UA,EWR,FLL,164,1065,16,0,2013-02-02T21:00:00Z
2013,4,26,753,756,-3,1031,1047,-16,B6,341,N583JB,JFK,SRQ,144,1041,7,56,2013-04-26T11:00:00Z
2013,2,9,NA,845,NA,NA,1350,NA,AA,1357,NA,JFK,SJU,NA,1598,8,45,2013-02-09T13:00:00Z
2013,2,18,859,900,-1,1107,1135,-28,DL,485,N302DQ,EWR,ATL,110,746,9,0,2013-02-18T14:00:00Z
2013,7,31,1602,1605,-3,1720,1732,-12,YV,3771,N506MJ,LGA,IAD,44,229,16,5,2013-07-31T20:00:00Z
2013,5,4,1418,1426,-8,1712,1729,-17,B6,71,N625JB,JFK,FLL,148,1069,14,26,2013-05-04T18:00:00Z
2013,10,5,1441,1445,-4,1740,1750,-10,B6,1171,N527JB,LGA,FLL,146,1076,14,45,2013-10-05T18:00:00Z
2013,3,22,628,633,-5,739,745,-6,EV,4241,N13553,EWR,DCA,46,199,6,33,2013-03-22T10:00:00Z
2013,2,25,1156,1200,-4,1301,1305,-4,US,2126,N954UW,LGA,BOS,34,184,12,0,2013-02-25T17:00:00Z
2013,6,16,1507,1500,7,1725,1726,-1,UA,1548,N76529,LGA,DEN,234,1620,15,0,2013-06-16T19:00:00Z
2013,9,14,1515,1520,-5,1757,1818,-21,UA,1600,N14115,EWR,LAX,310,2454,15,20,2013-09-14T19:00:00Z
2013,8,23,1251,1250,1,1448,1450,-2,DL,1131,N342NB,LGA,DTW,84,502,12,50,2013-08-23T16:00:00Z
2013,5,2,1919,1905,14,2108,2132,-24,9E,3367,N927XJ,JFK,CVG,85,589,19,5,2013-05-02T23:00:00Z
2013,8,22,1841,1759,42,2144,2106,38,DL,1585,N933DL,LGA,MCO,124,950,17,59,2013-08-22T21:00:00Z
2013,6,22,920,929,-9,1154,1214,-20,B6,795,N648JB,JFK,AUS,188,1521,9,29,2013-06-22T13:00:00Z
2013,1,26,1219,1225,-6,1549,1558,-9,UA,1575,N38417,EWR,SFO,375,2565,12,25,2013-01-26T17:00:00Z
2013,1,1,1923,1859,24,2239,2234,5,B6,171,N552JB,JFK,SMF,333,2521,18,59,2013-01-01T23:00:00Z
2013,3,1,1506,1510,-4,1651,1655,-4,MQ,4447,N723MQ,LGA,RDU,69,431,15,10,2013-03-01T20:00:00Z
2013,4,10,117,2145,212,456,105,231,AA,185,N319AA,JFK,LAX,339,2475,21,45,2013-04-11T01:00:00Z
2013,11,29,1239,1245,-6,1528,1551,-23,DL,1785,N985DL,LGA,PBI,149,1035,12,45,2013-11-29T17:00:00Z
2013,5,17,2112,2117,-5,2332,2351,-19,B6,97,N516JB,JFK,DEN,212,1626,21,17,2013-05-18T01:00:00Z
2013,8,6,935,915,20,1315,1307,8,UA,1216,N71411,EWR,SJU,202,1608,9,15,2013-08-06T13:00:00Z
2013,11,27,1459,1500,-1,1631,1619,12,US,2185,N766US,LGA,DCA,54,214,15,0,2013-11-27T20:00:00Z
2013,1,30,1058,1050,8,1254,1227,27,EV,4662,N18556,EWR,RDU,73,416,10,50,2013-01-30T15:00:00Z
2013,5,5,1056,1101,-5,1336,1334,2,B6,711,N635JB,JFK,LAS,292,2248,11,1,2013-05-05T15:00:00Z
2013,4,10,1658,1700,-2,2125,2050,35,DL,31,N713TW,JFK,SFO,368,2586,17,0,2013-04-10T21:00:00Z
2013,4,26,718,725,-7,1026,1040,-14,AA,443,N319AA,JFK,MIA,143,1089,7,25,2013-04-26T11:00:00Z
2013,4,11,2250,2159,51,2358,2311,47,EV,4309,N13908,EWR,PWM,46,284,21,59,2013-04-12T01:00:00Z
2013,12,20,1633,1530,63,1903,1805,58,EV,4377,N19554,EWR,JAX,125,820,15,30,2013-12-20T20:00:00Z
2013,6,6,1939,1945,-6,2253,2300,-7,AA,1709,N3FEAA,LGA,MIA,152,1096,19,45,2013-06-06T23:00:00Z
2013,6,24,809,810,-1,1031,1032,-1,DL,27,N639DL,JFK,ATL,98,760,8,10,2013-06-24T12:00:00Z
2013,4,28,1414,1353,21,1643,1643,0,UA,1296,N14230,EWR,PBI,138,1023,13,53,2013-04-28T17:00:00Z
2013,11,13,759,805,-6,1039,1104,-25,DL,346,N301DQ,JFK,TPA,139,1005,8,5,2013-11-13T13:00:00Z
2013,4,12,1730,1730,0,2027,2049,-22,B6,359,N561JB,JFK,BUR,329,2465,17,30,2013-04-12T21:00:00Z
2013,11,26,1834,1810,24,2026,2021,5,DL,2019,N918DE,LGA,MSP,151,1020,18,10,2013-11-26T23:00:00Z
2013,6,25,823,829,-6,952,1004,-12,MQ,3363,N804MQ,JFK,RDU,66,427,8,29,2013-06-25T12:00:00Z
2013,3,25,1852,1900,-8,1952,2012,-20,US,2140,N967UW,LGA,BOS,37,184,19,0,2013-03-25T23:00:00Z
2013,7,13,1548,1552,-4,1831,1840,-9,UA,503,N414UA,EWR,MCO,132,937,15,52,2013-07-13T19:00:00Z
2013,11,5,836,845,-9,1055,1054,1,EV,4380,N12201,EWR,MSP,158,1008,8,45,2013-11-05T13:00:00Z
2013,4,28,1450,1457,-7,1559,1610,-11,EV,4440,N14568,EWR,IAD,45,212,14,57,2013-04-28T18:00:00Z
2013,11,15,758,803,-5,1142,1137,5,UA,281,N529UA,EWR,SFO,347,2565,8,3,2013-11-15T13:00:00Z
2013,10,25,657,700,-3,953,949,4,B6,683,N636JB,JFK,MCO,148,944,7,0,2013-10-25T11:00:00Z
2013,8,21,856,900,-4,1141,1206,-25,B6,5,N556JB,EWR,FLL,142,1065,9,0,2013-08-21T13:00:00Z
2013,11,24,2017,1920,57,2203,2120,43,EV,4641,N16918,EWR,CLT,85,529,19,20,2013-11-25T00:00:00Z
2013,9,23,905,905,0,1102,1117,-15,DL,181,N350NA,LGA,DTW,80,502,9,5,2013-09-23T13:00:00Z
2013,9,27,1058,1105,-7,1201,1215,-14,MQ,3230,N518MQ,JFK,DCA,41,213,11,5,2013-09-27T15:00:00Z
2013,10,6,1239,1229,10,1350,1334,16,B6,316,N238JB,JFK,SYR,42,209,12,29,2013-10-06T16:00:00Z
2013,11,4,2133,2130,3,2251,2240,11,EV,4509,N12922,EWR,PWM,47,284,21,30,2013-11-05T02:00:00Z
2013,3,4,2030,2040,-10,2342,2343,-1,B6,629,N284JB,JFK,HOU,217,1428,20,40,2013-03-05T01:00:00Z
2013,10,27,1931,1850,41,2259,2225,34,VX,29,N633VA,JFK,SFO,359,2586,18,50,2013-10-27T22:00:00Z
2013,7,16,559,604,-5,659,725,-26,UA,230,N830UA,EWR,BOS,36,200,6,4,2013-07-16T10:00:00Z
2013,6,10,1549,1520,29,1813,1805,8,DL,1773,N398DA,JFK,LAS,285,2248,15,20,2013-06-10T19:00:00Z
2013,10,3,1830,1815,15,2016,2000,16,WN,1113,N7734H,LGA,STL,130,888,18,15,2013-10-03T22:00:00Z
2013,10,25,1051,1055,-4,1355,1353,2,B6,1,N586JB,JFK,FLL,155,1069,10,55,2013-10-25T14:00:00Z
2013,3,2,1930,1935,-5,2039,2054,-15,9E,3650,N833AY,JFK,PHL,28,94,19,35,2013-03-03T00:00:00Z
2013,7,10,1024,1025,-1,1257,1308,-11,B6,925,N526JB,JFK,TPA,129,1005,10,25,2013-07-10T14:00:00Z
2013,11,9,926,930,-4,1051,1128,-37,9E,3531,N903XJ,LGA,RDU,70,431,9,30,2013-11-09T14:00:00Z
2013,5,12,1126,1130,-4,1423,1423,0,UA,682,N424UA,EWR,TPA,154,997,11,30,2013-05-12T15:00:00Z
2013,11,29,1554,1600,-6,1821,1838,-17,DL,847,N917DE,LGA,ATL,116,762,16,0,2013-11-29T21:00:00Z
2013,5,29,608,610,-2,818,809,9,DL,1919,N971DL,LGA,MSP,155,1020,6,10,2013-05-29T10:00:00Z
2013,8,21,626,630,-4,922,931,-9,UA,1701,N77520,EWR,FLL,162,1065,6,30,2013-08-21T10:00:00Z
2013,5,1,2130,1929,121,2340,2155,105,EV,5181,N751EV,EWR,ATL,96,746,19,29,2013-05-01T23:00:00Z
2013,7,17,1622,1543,39,1936,1909,27,DL,31,N379DA,JFK,SLC,244,1990,15,43,2013-07-17T19:00:00Z
2013,11,16,1344,1345,-1,1608,1640,-32,UA,1461,N69059,EWR,IAH,187,1400,13,45,2013-11-16T18:00:00Z
2013,10,31,2101,2040,21,2301,2258,3,9E,4033,N8877A,LGA,TYS,106,647,20,40,2013-11-01T00:00:00Z
2013,2,24,604,600,4,908,927,-19,UA,1205,N76504,EWR,LAX,337,2454,6,0,2013-02-24T11:00:00Z
2013,11,10,1929,1930,-1,2334,2324,10,DL,435,N709TW,JFK,SFO,346,2586,19,30,2013-11-11T00:00:00Z
2013,6,22,559,600,-1,708,715,-7,MQ,3267,N535MQ,EWR,ORD,106,719,6,0,2013-06-22T10:00:00Z
2013,5,6,658,700,-2,808,805,3,US,2116,N963UW,LGA,BOS,36,184,7,0,2013-05-06T11:00:00Z
2013,6,10,1750,1745,5,2057,2014,43,DL,884,N342NW,LGA,DEN,254,1620,17,45,2013-06-10T21:00:00Z
2013,1,26,1228,1225,3,1341,1355,-14,WN,640,N7704B,EWR,MDW,116,711,12,25,2013-01-26T17:00:00Z
2013,12,17,1623,1630,-7,1938,1845,53,DL,2231,N921DL,LGA,DTW,86,502,16,30,2013-12-17T21:00:00Z
2013,8,27,555,600,-5,645,656,-11,US,1909,N963UW,LGA,PHL,33,96,6,0,2013-08-27T10:00:00Z
2013,11,17,1449,1450,-1,1557,1616,-19,9E,2940,N8783E,JFK,BWI,37,184,14,50,2013-11-17T19:00:00Z
2013,4,18,NA,1835,NA,NA,2205,NA,UA,389,NA,JFK,SFO,NA,2586,18,35,2013-04-18T22:00:00Z
2013,11,2,558,600,-2,906,905,1,AA,1175,N3DUAA,LGA,MIA,169,1096,6,0,2013-11-02T10:00:00Z
2013,2,1,625,630,-5,746,810,-24,AA,303,N3DAAA,LGA,ORD,113,733,6,30,2013-02-01T11:00:00Z
2013,7,8,1143,1115,28,1257,1230,27,MQ,3718,N506MQ,EWR,ORD,107,719,11,15,2013-07-08T15:00:00Z
2013,3,6,812,816,-4,1135,1146,-11,UA,1290,N17245,EWR,SFO,353,2565,8,16,2013-03-06T13:00:00Z
2013,9,21,1323,1325,-2,1608,1611,-3,UA,1232,N72405,EWR,IAH,199,1400,13,25,2013-09-21T17:00:00Z
2013,3,2,1607,1540,27,1936,1901,35,DL,2027,N360NW,JFK,FLL,171,1069,15,40,2013-03-02T20:00:00Z
2013,9,2,2327,1935,232,206,2242,204,UA,208,N834UA,EWR,SEA,324,2402,19,35,2013-09-02T23:00:00Z
2013,5,10,1512,1515,-3,1801,1806,-5,DL,2181,N920DL,LGA,MCO,131,950,15,15,2013-05-10T19:00:00Z
2013,12,24,823,829,-6,1024,1024,0,EV,4099,N16919,EWR,STL,139,872,8,29,2013-12-24T13:00:00Z
2013,4,22,1004,1015,-11,1220,1212,8,US,1427,N762US,JFK,CLT,90,541,10,15,2013-04-22T14:00:00Z
2013,5,3,1925,1815,70,2115,2039,36,9E,3285,N926XJ,JFK,DTW,80,509,18,15,2013-05-03T22:00:00Z
2013,11,1,559,600,-1,756,730,26,AA,301,N4YHAA,LGA,ORD,119,733,6,0,2013-11-01T10:00:00Z
2013,7,25,1924,1740,104,2203,2015,108,WN,345,N434WN,LGA,DEN,234,1620,17,40,2013-07-25T21:00:00Z
2013,4,19,1732,1615,77,2032,1840,112,MQ,4657,N523MQ,LGA,ATL,136,762,16,15,2013-04-19T20:00:00Z
2013,3,29,1736,1736,0,2007,2029,-22,B6,9,N593JB,JFK,MCO,134,944,17,36,2013-03-29T21:00:00Z
2013,2,14,827,829,-2,1113,1103,10,B6,611,N346JB,JFK,JAX,131,828,8,29,2013-02-14T13:00:00Z
2013,8,4,3,2359,4,408,350,18,B6,745,N807JB,JFK,PSE,204,1617,23,59,2013-08-05T03:00:00Z
2013,5,2,817,820,-3,959,1000,-1,MQ,4521,N725MQ,LGA,RDU,67,431,8,20,2013-05-02T12:00:00Z
2013,1,22,1549,1530,19,1801,1734,27,US,1665,N700UW,LGA,CLT,91,544,15,30,2013-01-22T20:00:00Z
2013,9,6,1746,1735,11,1928,1933,-5,EV,4382,N11189,EWR,DTW,74,488,17,35,2013-09-06T21:00:00Z
2013,5,30,820,825,-5,1029,1053,-24,DL,2170,N377DA,JFK,PHX,280,2153,8,25,2013-05-30T12:00:00Z
2013,2,8,1137,958,99,1256,1137,79,UA,258,N485UA,LGA,ORD,113,733,9,58,2013-02-08T14:00:00Z
2013,9,10,1253,1247,6,1536,1605,-29,UA,1120,N77518,EWR,SFO,326,2565,12,47,2013-09-10T16:00:00Z
2013,10,11,1932,1600,212,2211,1847,204,B6,543,N583JB,EWR,PBI,133,1023,16,0,2013-10-11T20:00:00Z
2013,11,27,1707,1650,17,1842,1825,17,WN,1309,N437WN,LGA,MDW,105,725,16,50,2013-11-27T21:00:00Z
2013,10,9,1738,1740,-2,1922,1931,-9,EV,3843,N29906,EWR,CMH,72,463,17,40,2013-10-09T21:00:00Z
2013,8,6,1632,1620,12,1854,1902,-8,DL,843,N177DN,JFK,ATL,100,760,16,20,2013-08-06T20:00:00Z
2013,10,29,723,725,-2,940,945,-5,MQ,3547,N724MQ,LGA,XNA,182,1147,7,25,2013-10-29T11:00:00Z
2013,1,4,1522,1515,7,1816,1805,11,UA,53,N66056,EWR,IAH,205,1400,15,15,2013-01-04T20:00:00Z
2013,6,28,1131,1115,16,1255,1252,3,EV,5273,N716EV,LGA,PIT,57,335,11,15,2013-06-28T15:00:00Z
2013,11,22,1657,1629,28,1947,1932,15,B6,1161,N505JB,LGA,PBI,144,1035,16,29,2013-11-22T21:00:00Z
2013,11,18,1800,1635,85,1919,1810,69,EV,5293,N738EV,LGA,ORF,52,296,16,35,2013-11-18T21:00:00Z
2013,12,27,2119,2035,44,14,2347,27,DL,2065,N3740C,JFK,FLL,149,1069,20,35,2013-12-28T01:00:00Z
2013,3,4,1131,1137,-6,1410,1445,-35,UA,1601,N36247,EWR,FLL,143,1065,11,37,2013-03-04T16:00:00Z
2013,5,12,2044,2050,-6,2152,2229,-37,EV,5057,N712EV,LGA,RIC,49,292,20,50,2013-05-13T00:00:00Z
2013,10,3,1458,1502,-4,1726,1724,2,EV,5199,N712EV,LGA,CHS,91,641,15,2,2013-10-03T19:00:00Z
2013,3,16,1628,1629,-1,1849,1850,-1,9E,3384,N935XJ,JFK,DTW,103,509,16,29,2013-03-16T20:00:00Z
2013,2,10,1125,1130,-5,1309,1315,-6,WN,145,N918WN,EWR,STL,144,872,11,30,2013-02-10T16:00:00Z
2013,3,6,NA,1200,NA,NA,1330,NA,MQ,4601,N534MQ,LGA,BNA,NA,764,12,0,2013-03-06T17:00:00Z
2013,7,20,716,720,-4,1035,1025,10,AS,15,N596AS,EWR,SEA,353,2402,7,20,2013-07-20T11:00:00Z
2013,6,26,843,846,-3,1050,1048,2,EV,4486,N14198,EWR,CVG,89,569,8,46,2013-06-26T12:00:00Z
2013,2,16,1410,1400,10,1655,1631,24,B6,615,N198JB,JFK,JAX,146,828,14,0,2013-02-16T19:00:00Z
2013,4,3,916,925,-9,1227,1235,-8,AA,1097,N553AA,LGA,DFW,212,1389,9,25,2013-04-03T13:00:00Z
2013,9,1,1525,1530,-5,1652,1715,-23,WN,424,N465WN,LGA,STL,126,888,15,30,2013-09-01T19:00:00Z
2013,9,12,1914,1645,149,52,2015,NA,B6,415,N597JB,JFK,SFO,NA,2586,16,45,2013-09-12T20:00:00Z
2013,3,27,1424,1400,24,1535,1513,22,B6,602,N351JB,JFK,PWM,51,273,14,0,2013-03-27T18:00:00Z
2013,4,5,1852,1857,-5,2149,2157,-8,DL,2159,N3737C,JFK,MCO,143,944,18,57,2013-04-05T22:00:00Z
2013,6,28,1953,1915,38,2239,2211,28,DL,1629,N3748Y,JFK,LAS,291,2248,19,15,2013-06-28T23:00:00Z
2013,6,7,712,715,-3,913,912,1,DL,831,N345NB,LGA,DTW,85,502,7,15,2013-06-07T11:00:00Z
2013,2,6,2102,1946,76,2314,2154,80,EV,4536,N11548,EWR,CVG,102,569,19,46,2013-02-07T00:00:00Z
2013,2,6,1926,1936,-10,2046,2056,-10,EV,5693,N836AS,LGA,IAD,52,229,19,36,2013-02-07T00:00:00Z
2013,1,20,1253,1300,-7,1438,1450,-12,MQ,4426,N711MQ,LGA,CMH,82,479,13,0,2013-01-20T18:00:00Z
2013,1,6,2132,1929,123,2237,2049,108,EV,4108,N14916,EWR,IAD,48,212,19,29,2013-01-07T00:00:00Z
2013,3,13,1527,1530,-3,1835,1834,1,DL,1935,N324US,LGA,TPA,155,1010,15,30,2013-03-13T19:00:00Z
2013,8,8,1750,1711,39,4,2039,NA,B6,167,N565JB,JFK,OAK,NA,2576,17,11,2013-08-08T21:00:00Z
2013,1,5,2048,2040,8,2319,2314,5,B6,619,N281JB,JFK,JAX,130,828,20,40,2013-01-06T01:00:00Z
2013,5,23,639,640,-1,833,907,-34,UA,311,N464UA,EWR,DEN,214,1605,6,40,2013-05-23T10:00:00Z
2013,6,9,1836,1845,-9,2008,2030,-22,MQ,4517,N725MQ,LGA,CRW,71,444,18,45,2013-06-09T22:00:00Z
2013,9,3,1259,1300,-1,1509,1521,-12,EV,5148,N166PQ,EWR,ATL,100,746,13,0,2013-09-03T17:00:00Z
2013,6,19,1445,1425,20,1649,1625,24,EV,4949,N722EV,LGA,GSO,76,461,14,25,2013-06-19T18:00:00Z
2013,8,6,1558,1559,-1,1727,1732,-5,UA,1285,N87512,EWR,ORD,117,719,15,59,2013-08-06T19:00:00Z
2013,8,27,1030,1030,0,1248,1331,-43,UA,1257,N14250,LGA,IAH,171,1416,10,30,2013-08-27T14:00:00Z
2013,7,20,1454,1500,-6,1735,1755,-20,AA,1813,N5FTAA,JFK,MCO,126,944,15,0,2013-07-20T19:00:00Z
2013,10,4,1905,1859,6,2129,2126,3,FL,645,N969AT,LGA,ATL,105,762,18,59,2013-10-04T22:00:00Z
2013,2,28,1529,1530,-1,1830,1910,-40,AA,85,N361AA,JFK,SFO,329,2586,15,30,2013-02-28T20:00:00Z
2013,1,6,1200,1200,0,1514,1529,-15,UA,73,N79279,EWR,SFO,355,2565,12,0,2013-01-06T17:00:00Z
2013,5,11,629,635,-6,827,900,-33,UA,528,N444UA,EWR,PHX,278,2133,6,35,2013-05-11T10:00:00Z
2013,8,8,1457,1455,2,1832,1830,2,AA,779,N3CUAA,LGA,MIA,142,1096,14,55,2013-08-08T18:00:00Z
2013,7,26,1156,1155,1,1436,1455,-19,AA,2147,N3GBAA,EWR,MIA,140,1085,11,55,2013-07-26T15:00:00Z
2013,7,8,1142,1145,-3,1331,1340,-9,MQ,3546,N522MQ,LGA,MSP,132,1020,11,45,2013-07-08T15:00:00Z
2013,2,6,NA,1635,NA,NA,1945,NA,WN,891,N442WN,EWR,HOU,NA,1411,16,35,2013-02-06T21:00:00Z
2013,7,9,1940,1755,105,2334,2121,133,UA,212,N823UA,EWR,SFO,329,2565,17,55,2013-07-09T21:00:00Z
2013,7,27,854,900,-6,1002,1033,-31,UA,544,N420UA,LGA,ORD,109,733,9,0,2013-07-27T13:00:00Z
2013,1,6,1545,1539,6,1637,1655,-18,UA,581,N462UA,EWR,BOS,37,200,15,39,2013-01-06T20:00:00Z
2013,9,11,2124,1800,204,21,2104,197,B6,359,N627JB,JFK,BUR,317,2465,18,0,2013-09-11T22:00:00Z
2013,5,31,823,800,23,1003,945,18,9E,3611,N841AY,JFK,PIT,67,340,8,0,2013-05-31T12:00:00Z
2013,7,14,1626,1516,70,1849,1800,49,UA,1695,N24211,EWR,IAH,181,1400,15,16,2013-07-14T19:00:00Z
2013,12,8,1805,1524,161,2208,1842,206,UA,1600,N26123,EWR,LAX,364,2454,15,24,2013-12-08T20:00:00Z
2013,9,23,1153,1159,-6,1505,1514,-9,AA,1256,N3CRAA,LGA,MIA,143,1096,11,59,2013-09-23T15:00:00Z
2013,9,30,2123,2125,-2,2223,2247,-24,EV,5489,N712EV,LGA,CHO,45,305,21,25,2013-10-01T01:00:00Z
2013,2,11,1730,1720,10,1920,1905,15,MQ,4479,N730MQ,LGA,RDU,78,431,17,20,2013-02-11T22:00:00Z
2013,7,22,1430,1435,-5,1545,1600,-15,9E,3969,N8968E,JFK,BWI,51,184,14,35,2013-07-22T18:00:00Z
2013,8,31,1130,1055,35,1532,1358,94,B6,971,N746JB,LGA,FLL,146,1076,10,55,2013-08-31T14:00:00Z
2013,9,22,2057,2059,-2,2218,2232,-14,EV,5048,N718EV,LGA,RIC,49,292,20,59,2013-09-23T00:00:00Z
2013,7,15,9,2359,10,359,350,9,B6,745,N746JB,JFK,PSE,211,1617,23,59,2013-07-16T03:00:00Z
2013,11,24,1757,1804,-7,2135,2135,0,UA,1481,N24729,EWR,PHX,317,2133,18,4,2013-11-24T23:00:00Z
2013,11,28,1237,1244,-7,1334,1357,-23,EV,4233,N14904,EWR,BTV,45,266,12,44,2013-11-28T17:00:00Z
2013,8,22,1342,1300,42,1551,1425,86,UA,1734,N41140,EWR,ORD,117,719,13,0,2013-08-22T17:00:00Z
2013,6,1,559,600,-1,739,753,-14,DL,731,N363NB,LGA,DTW,75,502,6,0,2013-06-01T10:00:00Z
2013,8,3,2003,2005,-2,2216,2149,27,B6,105,N517JB,JFK,ORD,123,740,20,5,2013-08-04T00:00:00Z
2013,8,25,625,630,-5,828,847,-19,B6,211,N645JB,JFK,LAS,278,2248,6,30,2013-08-25T10:00:00Z
